EmployeeId,Age,Attrition,DailyRate,DistanceFromHome,Education,EmployeeCount,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes,experience_level,Income_JobLevel,YearsAtCompany_JobSatisfaction,Age_WorkLifeBalance,Kelompok_Usia
1,0.11784484953130571,0.0,1.5903794966033364,-1.0109093429124179,4,1,4,88,3,1,2,-0.7462104260142645,5224,0,11,3,2,80,1,-0.5502079870438897,2,3,-0.16461310905422863,2,1,2,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,True,-0.6394898579375713,-0.6504646167686542,-0.3674639388453645,0.3354877286840841,Paruh Baya
2,0.008342998196906572,1.0,0.8392115207658811,0.2230329755142651,2,1,1,61,1,2,2,-0.3667235540184558,14382,5,15,3,1,80,0,0.4783162424325279,2,1,-0.9810141559830953,0,0,0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-0.0003591683851373997,-0.372891776841757,-0.885266843468338,-1.7847722383595495,Paruh Baya
3,1.5413689168784945,1.0,1.2904081267144516,-0.6407266473844129,4,1,1,34,3,1,3,-0.8588241114329535,10332,9,12,3,3,80,3,0.8640128284861845,2,4,0.48850772848886465,0,2,7,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,-0.33381865858640725,-0.672880220175824,0.5645812894759877,2.81371366418963,Veteran
4,0.5558522548689022,0.0,-0.6135423862992962,2.0739464531542895,3,1,3,77,3,4,2,1.4920396913451133,14864,5,14,3,4,80,1,1.5068404719089457,2,4,2.1213098223465976,4,4,8,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.7225148643214232,1.5111185427351992,1.0823841940989611,1.8224232899874115,Senior
5,0.33684855220010396,0.0,0.9706039389816736,-0.8875151110697495,4,1,3,98,3,1,3,-0.9565642912303062,12549,2,14,3,2,80,3,1.121143885855289,2,3,-0.32789331844000197,3,0,2,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,-0.27824207688619557,-0.692335272189594,-0.21212306745847248,0.5007027910511205,Senior
6,-0.8676718124782865,0.0,-1.1168001390880864,-0.3939381836990763,1,1,4,87,2,1,2,-0.7859439338884057,15434,1,11,3,4,80,0,-1.3216011591512031,3,3,-0.9810141559830953,0,0,0,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,-0.8062196030382062,-0.658373518348165,-0.885266843468338,-0.40798005196757964,Paruh Baya
7,0.33684855220010396,0.0,0.7970667828476081,-1.0109093429124179,2,1,2,57,1,2,4,0.20271923262699057,13273,2,22,4,3,80,3,-0.678773515728442,2,2,-0.4911735278257753,3,0,2,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,-0.5005484036870421,-0.14619812729000184,-0.1603427769961751,-0.6007309580624555,Senior
8,1.979376322216091,1.0,-0.19209500711656557,-0.8875151110697495,3,1,4,78,3,5,1,2.837879471424314,21199,5,13,3,4,80,1,1.6354060005934978,2,3,-0.32789331844000197,2,1,4,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,2.5005870081243864,3.422577403088104,-0.7299259720814459,1.7398157588038934,Veteran
9,-0.10115885313749257,0.0,-0.41521420786036417,1.0867925984129432,1,1,2,73,3,1,4,-0.9242675361668331,7703,1,13,3,1,80,0,-0.42164245835933756,2,3,0.16194730971731802,1,1,7,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,-0.6117015670874655,-0.6859066463067831,0.6681418704005825,0.17027266631704774,Paruh Baya
10,-0.5391662584750891,0.0,0.5342819464160231,-0.7641208792270812,2,1,3,39,3,3,4,0.9893152013439467,19373,3,15,3,4,80,0,-0.16451140099023315,6,3,-0.0013328996684553085,7,7,7,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,-0.0003591683851373997,0.6388978086482875,0.46102070855139304,-0.16015745841702506,Paruh Baya
11,-1.3056792178158831,0.0,-0.54412752384567,-0.6407266473844129,1,1,3,87,2,2,1,-0.4774249315715444,18154,1,12,3,1,80,0,-0.8073390444129942,1,4,-0.32789331844000197,2,0,3,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,-0.5561249853872537,-0.4169616990120795,-0.7299259720814459,-0.05001408350566745,Muda
12,-1.8531884744878788,1.0,-1.6696399364866095,-0.6407266473844129,3,1,1,84,3,1,1,-0.7500350417454652,13008,1,19,3,2,80,0,-1.3216011591512031,2,3,-0.9810141559830953,0,0,0,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,-0.8062196030382062,-0.6512259014126712,-0.9370471339306353,-1.1514478326192434,Muda
13,1.103361511540898,0.0,-0.5738767506115098,0.59321567104227,3,1,3,78,3,2,3,-0.40624458324086365,24200,3,17,3,3,80,1,-0.03594587230568093,4,2,-0.32789331844000197,4,1,2,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,-0.22266549518598394,-0.38862499281811014,-0.21212306745847248,-0.21522914587270384,Senior
14,0.5558522548689022,0.0,0.01862868247479974,1.7037637576262845,5,1,1,44,3,4,4,2.0162245251713506,15901,2,14,3,2,80,0,0.6068817711170802,2,3,-0.9810141559830953,0,0,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0.9444427205184603,1.9284717020219004,-0.7817062625437433,0.6659178534181569,Senior
15,-0.6486681098094882,0.0,-0.4623171502396105,0.3464272073569334,3,1,4,41,3,2,4,-0.137671567449877,17369,0,11,3,3,80,2,-0.16451140099023315,2,1,0.32522751910309133,7,8,5,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,-0.27824207688619557,-0.28170679392504355,0.8752630322497719,-1.949987300726586,Paruh Baya
16,0.11784484953130571,0.0,-0.5689185461505365,-0.3939381836990763,3,1,2,79,1,2,4,-0.2494353382616325,15717,7,12,3,4,80,3,0.7354472998016324,3,3,0.9783483566461847,11,1,9,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0.11079399501528588,-0.32619965200870893,1.7037476796465296,0.3354877286840841,Paruh Baya
17,0.22734670086570485,0.0,-0.977970414180834,-0.8875151110697495,4,1,4,80,2,2,3,-0.4143187720067319,20978,1,11,3,1,80,0,1.121143885855289,4,3,2.1213098223465976,7,11,10,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.2775237401159208,-0.39183930575951564,2.1179900033449086,0.4180952598676023,Paruh Baya
18,1.869874470881692,0.0,0.0458988070101529,-0.5173324155417446,2,1,1,86,3,5,1,2.7416266421890945,8509,4,11,3,3,80,1,1.6354060005934978,4,2,-0.4911735278257753,2,1,2,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,2.5005870081243864,3.326782418715954,-0.7817062625437433,0.17027266631704774,Veteran
19,-1.3056792178158831,0.0,-0.075577202283693,-0.8875151110697495,1,1,4,77,4,2,3,-0.2755702124248377,4973,1,17,3,3,80,2,-0.5502079870438897,6,3,-0.0013328996684553085,7,0,7,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,-0.4449718219868305,-0.3366038754769424,0.09855867531531162,-0.7384101767016524,Muda
20,1.3223652142096962,0.0,0.7326101248549552,-0.6407266473844129,2,1,1,85,2,5,3,2.5939539792343984,12124,2,13,3,3,80,1,1.5068404719089457,2,4,-0.9810141559830953,0,0,0,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,2.361645553873857,3.1798121888293216,-0.8334865530060407,2.5934269143669146,Senior
21,-1.4151810691502822,0.0,-0.2763844829531117,1.7037637576262845,3,1,2,89,4,1,4,-0.8027297473753423,21630,1,11,3,2,80,2,-0.678773515728442,3,3,-0.16461310905422863,5,1,4,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,-0.6672781487876771,-0.6617147120635734,0.25389954670220366,-0.8210177078851706,Muda
22,0.33684855220010396,0.0,-1.2407552506124189,-0.3939381836990763,3,1,2,75,3,4,3,1.430845839645901,20364,7,15,3,3,80,0,1.3782749432243935,3,3,2.1213098223465976,6,5,13,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1.611361700921,1.4623963255181054,2.1179900033449086,0.5007027910511205,Senior
23,0.4463504035345031,0.0,-1.3275238286794517,0.09963874367159682,2,1,4,56,3,2,4,-0.057992073049861176,13430,7,14,3,4,80,0,0.6068817711170802,3,3,1.141628566031958,3,1,10,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,0.05521741331507424,-0.24998660042433152,1.910868841495719,0.5833103222346387,Senior
24,-0.5391662584750891,0.0,-0.5317320126932368,-0.14714972001373974,2,1,3,65,2,2,2,-0.27089568208670345,24624,1,11,3,4,80,0,0.2211851850634235,2,3,0.9783483566461847,12,11,9,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,-0.11151233178556068,-0.334742957458234,0.35746012762679835,-0.16015745841702506,Paruh Baya
25,-1.4151810691502822,1.0,0.02606598916625969,-1.0109093429124179,3,1,2,61,3,1,4,-0.8945205249241606,3020,2,16,3,1,80,1,-0.678773515728442,2,2,-0.8177339465973219,0,2,0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,-0.6672781487876771,-0.6799855435199835,-0.5745851006945539,-1.481877957353316,Muda
26,1.3223652142096962,0.0,-0.19953231380802552,1.950552221311621,4,1,3,84,3,1,1,-0.6994651226329218,22102,1,14,3,4,80,1,-0.16451140099023315,3,2,0.32522751910309133,6,1,4,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,-0.5561249853872537,-0.641160026675112,-0.5228048102322566,-0.10508577096134625,Senior
27,-1.4151810691502822,0.0,-1.1217583435490597,1.456975293940948,2,1,3,57,2,1,1,-0.8938830889689604,10036,0,14,3,2,80,3,-1.193035630466651,3,3,-0.9810141559830953,1,0,0,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,-0.7784313121881004,-0.6798586627459806,-0.9370471339306353,-0.8210177078851706,Muda
28,0.22734670086570485,0.0,-0.9680540052588873,0.4698214391996017,4,1,3,94,2,4,2,2.2565378802817984,17334,6,13,3,4,80,2,1.2497094145398413,4,3,1.9580296129608246,9,15,2,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1.5002085375205767,2.119807909218195,0.9788236131743665,0.4180952598676023,Paruh Baya
